,Spill Number,Date Spill Reported,Spill Name,County,City/Town,Address,
1,1609161,1/1/2017,INDIAN LAKE ,Hamilton,  INDIAN LAKE ,  6865 ST RT 30 , 
2,1609162,1/1/2017,NAT GRID TRANSFORMER SHERMAN ST ,Albany,  ALBANY ,  77 SHERMAN ST , 
3,1609163,1/1/2017,RESIDENTIAL ,Ontario,  HONEOYE ,  4633 ALLENS HILL RD , 
4,1609164,1/1/2017,NOVELIS FACILITY ,Oswego,  OSWEGO ,  448 CO RTE 1A , 
5,1609165,1/1/2017,ATLANTIC OCEAN ,Nassau,  LONG BEACH ,  6 MILES SW OF POINT LOOKOUT , 
6,1609166,1/1/2017,KOLTUN BASEMENT ,Westchester,  PLEASANTVILLE ,  294 BEDFORD RD , 
7,1609167,1/2/2017,COMMERCIAL ,Niagara,  MODEL CITY ,  1550 BALMER RD , 
8,1609168,1/2/2017,WILLOW BEND FARM LLC ,Ontario,  BLOOMFIELD ,  8800 ROUTE 5 AND 20 , 
9,1609169,1/2/2017,AIRPORT ,Westchester,  WEST HARRISON ,  136 TOWER RD , 
10,1609170,1/2/2017,CONCRETE ,Rockland,  BEAR MOUNTAIN ,  8 FORT CLINTON WAY , 
11,1609171,1/2/2017,CONCRA RES BLUEBIRD RD ,Columbia,  CRARYVILLE ,  75 BLUEBIRD RD , 
12,1609172,1/2/2017,LOWE'S ,Ontario,  GENEVA ,  3030 SESSLER DRIVE , 
13,1609173,1/2/2017,SHOULDER ROADWAY ,Orange,  CORNWALL ,  9W SOUTH ACROSS FROM A SCHOOL , 
14,1609174,1/2/2017,POLE TOP TRANSFORMER ,Onondaga,  CICERO ,  5749 STEVENS DR , 
15,1609175,1/2/2017,GRASS ,Ontario,  MANCHESTER ,  514 COUNTY ROAD 7 , 
16,1609176,1/2/2017,ROADWAY ,Erie,  BUFFALO ,  MELVIN PL AND ELK ST , 
17,1609177,1/2/2017,COMMERCIAL TOMPKINS CONSOLIDATED ,Tompkins,  ITHICA ,  737 WILLOW AVE , 
18,1609178,1/2/2017,CHANG RESIDENCE ,Nassau,  JERICHO ,  32 MERRY LANE , 
19,1609179,1/2/2017,RESIDENTIAL ,Queens,  OZONE PARK ,  101-16 LIBERTY AVE , 
20,1609180,1/2/2017,STORM SEWER ,Orleans,  HOLLEY ,  33 EAST AVE , 
21,1609181,1/3/2017,RESIDENCE ,Bronx,  BRONX ,  848 EAST 218TH ST , 
22,1609182,1/3/2017,RESIDENTIAL ; CREEK ,Rockland,  VALLEY COTTAGE ,  455 KINGS HIGH WAY , 
23,1609183,1/3/2017,RESIDENCE ,Niagara,  NIAGARA FALLS ,  1914 WELCH AVE , 
24,1609355,1/3/2017,A.J. LEASE ACCOUNT GAS WELLS ,Cattaraugus,  YORKSHIRE ,  WORDEN RD , 
25,1609184,1/3/2017,PUBLIC SCHOOL ,Queens,  MASPETH ,  60-02 60 LANE , 
26,1609187,1/3/2017,HEDLEY BOAT CO. INC. ,Niagara,  OLCOTT ,  5835 ONTARIO STREET , 
27,1609185,1/3/2017,ABERT EINSTEIN ,Bronx,  BRONX ,  1300 MOORS PARK AVE , 
28,1609186,1/3/2017,NYC HOUSING AUTH ,Bronx,  BRONX ,  400 BROOK AVE , 
29,1609188,1/3/2017,UNKNOWN ,Suffolk,  BELLPORT ,  11 STATION ROAD , 
30,1609189,1/3/2017,PRAXAIR INC ,Niagara,  NIAGARA FALLS ,  4501 ROYAL AVE , 
31,1609190,1/3/2017,FORGIONE - UST ,Westchester,  KATONAH ,  10 PRIMROSE ST , 
32,1609191,1/3/2017,HOME ,Ulster,  WOODSTOCK ,  17 LIBRARY LANE WOODSTOCK , 
33,1609192,1/3/2017,JACKSON HOME ,Westchester,  NEW ROCHELLE ,  11 WOOD PLACE , 
34,1609193,1/3/2017,KENNICUTT RESIDENCE ,Chenango,  GREENE ,  4771 STATE HIGHWAY 41 , 
35,1609194,1/3/2017,FORMER LUMBER YARD ,Suffolk,  MASTIC BEACH ,  211 MASTIC BEACH ROAD , 
36,1609195,1/3/2017,FLORENCE RESIDENCE ,Suffolk,  SAG HARBOR ,  11 LAUREL COURT , 
37,1609196,1/3/2017,AVERY RESIDENCE ,Cortland,  CINCINNATUS ,  4097 NORTH TOWER ROAD , 
38,1609197,1/3/2017,STRIFE RESIDENCE ,Lewis,  LOWVILLE ,  6580 NYS RT 12 , 
39,1609198,1/3/2017,STRIFE RESIDENCE ,Lewis,  LOWVILLE ,  6580 STATE RTE 12 , 
40,1609199,1/3/2017,FLORENCE RESDENCE ,Suffolk,  SAG HARBOR ,  11 LAUREL COURT , 
41,1609200,1/3/2017,SCHULTZ RESIDENCE ,Suffolk,  BAY SHORE ,  1090 OCEAN AVENUE , 
42,1609201,1/3/2017,GARDENVILLE SUBSTATION ,Erie,  West Seneca ,  885 INDIAN CHURCH RD , 
43,1609202,1/3/2017,CON ED YARD ,Westchester,  VALHALLA ,  315 OLD SAW MILL RIVER ROAD , 
44,1609203,1/3/2017,RESIDENCE ,Suffolk,  KINGS PARK ,  11 SPENCER WAY , 
45,1609204,1/3/2017,UNKNOWN ,Suffolk,  HAUPPAUGE ,  902 RTE 111 , 
46,1609205,1/4/2017,LINDSEY TRANSPORT ,Chautauqua,  RIPLEY ,  WEST MAIN RD , 
47,1609206,1/4/2017,NORTH ALBANY TERMINAL RIVER RD RT 144 ,Albany,  GLENMONT ,  552 RIVER RD RT 144 , 
48,1609207,1/4/2017,SUPERIOR LUBRICANTS ,Niagara,  NORTH TONAWANDA ,  32 WARD RD , 
49,1609208,1/4/2017,GRAYMONT ,Clinton,  PLATTSBURGH ,  111 QUARRY RD , 
50,1609210,1/4/2017,HOME ,Fulton,  AMSTERDAM ,  388 STAIRS RD , 
51,1609209,1/4/2017,ROYAL WASTE ,Queens,  JAMAICA ,  174 DOUGLAS AVENUE , 
52,1609211,1/4/2017,TRAFFIC ACCIDENT ,Dutchess,  LAGRANGE ,  1283 NOXON ROAD , 
53,1609212,1/4/2017,COAL ROLLERS NY ,Suffolk,  NORTHPORT ,  11 DICK COURT , 
54,1609213,1/4/2017,BRIERLEY RESIDENCE ,Suffolk,  EAST HAMPTON ,  53 TUB OARSMANS ROAD , 
55,1609215,1/4/2017,CAROL GARDENS ,Bronx,  BRONX ,  820 THIERIOT AVE , 
56,1609214,1/4/2017,ALCOA WEST ,St Lawrence,  MASSENA ,  1814 STATE HIGHWAY 131 , 
57,1609216,1/4/2017,COSTANTINI - UST ,Westchester,  PELHAM ,  154 BOULEVARD , 
58,1609217,1/4/2017,NEWINS BAY SHORE FORD ,Suffolk,  BAY SHORE ,  219 WEST MAIN STREET , 
59,1609218,1/4/2017,ROYAL FIBERGLASS POOLS ,Onondaga,  TULLY ,  2215 RTE 80 , 
60,1609219,1/4/2017,RESIDENCE DENNIS FOUNTAIN ,Oneida,  TABERG ,  8865 KIWANIS RD , 
61,1609223,1/4/2017,MOMENTIVE ,Saratoga, ,  260 HUDSON RIVER RD. , 
62,1609220,1/4/2017,GROUND ,Saratoga,  WATERFORD ,  260 HUDSON RIVER ROAD , 
63,1609221,1/4/2017,YOUNT RESIDENCE ,Jefferson,  HENDERSON ,  13660 GILMAN ROAD , 
64,1609222,1/4/2017,STRAUSS FAMILY CAPITAL PROPERTY ,Orange,  NEW WINDSOR ,  59 WINDSOR HWAY , 
65,1609224,1/4/2017,ABANDONED USTS ,Chautauqua,  IRVING ,  411 OLD MAIN RD , 
66,1609225,1/4/2017,CAPITAL ONE BANK ,Suffolk,  SPEONK ,  172 MONTAUK HIGHWAY , 
67,1609226,1/4/2017,FARM ,Wayne,  LYONS ,  APPROX 265-269 LAYTON STREET , 
68,1609227,1/4/2017,GARY SOULIER RES ,Jefferson,  WATERTOWN ,  20011 COUNTY ROUTE 63 , 
