,Spill Number,Date Spill Reported,Spill Name,County,City/Town,Address,
1,1805518,8/21/2018,TRUCK MVA- REQUEST TO SCENE ,Bronx,  BRONX ,  NORTHBND CROSSBRONX @ ROSEDALE EXIT RAMP , 
2,1805519,8/21/2018,TREATMENT PLANT ,Niagara,  NIAGARA FALLS ,  FALL STREET TUNNEL , 
3,1805520,8/21/2018,TREATMENT PLANT ,Niagara,  NIAGARA FALLS ,  1099 WHIRLPOOL ST , 
4,1805521,8/21/2018,COMMERCIAL ,Niagara,  MODEL CITY ,  1445 PLETCHER RD , 
5,1805522,8/21/2018,COMMERCIAL ,Jefferson,  WELLSLY ISLAND ,  BORDER CROSSING , 
6,1805523,8/21/2018,RESIDESTIAL ,Franklin,  SARANAC LAKE ,  36 SARANAC LANE , 
7,1805524,8/21/2018,NY CITY SANTITATION ,New York,  MANHATTAN ,  PIER 36 , 
8,1805525,8/21/2018,ARCONIC (FORMER ALCOA WEST) ,St Lawrence,  MASSENA ,  COUNTY ROUTES 42 & 45 , 
9,1805526,8/21/2018,COMMERCIAL ,Oswego,  OSWEGO ,  448 COUNTY ROUTE 1A , 
10,1805528,8/21/2018,ZUCKERMAN RESIDENCE ,Suffolk,  MOUNT SINAI ,  17 BARNSLEY CRESCENT , 
11,1805527,8/21/2018,FIELDSTON AUTOMOTIVE ,Bronx,  BRONX ,  3472 BAILEY AVE , 
12,1805529,8/21/2018,RESIDENCE ,Orange,  WASHINGTONVILLE ,  6 CAPITAL DR , 
13,1805530,8/21/2018,COUNTY WASTE ON ROADWAY ,Orange,  MONTGOMERY ,  CLERMONT LANE , 
14,1805531,8/21/2018,RESIDENCE ,Nassau,  WOODMERE ,  949 ALLEN LANE , 
15,1805532,8/21/2018,COMMERCIAL ,Albany,  ALBANY ,  456 NORTH PEARL ST , 
16,1805533,8/21/2018,COMMERCIAL ,Putnam,  GARRISON ,  25 LADY BLUE DEVILS LN , 
17,1805534,8/21/2018,ERNA KOCH ,Franklin,  SARANAC LAKE ,  209 PROSPECT AVE , 
18,1805535,8/21/2018,OUTSIDE GRAVEL DRIVEWAY ,Onondaga,  SYRACUSE ,  610 SKYTOP ROAD , 
19,1805536,8/21/2018,ZABBIA ,Westchester,  MONTROSE ,  6 MONTROSE POINT RD , 
20,1805537,8/21/2018,COMMERCIAL ,Erie,  CHEEKTOWAGA ,  299 CAYUGA DR , 
21,1805538,8/21/2018,NAT GRID ,Albany,  ALBANY ,  92 VLY RD , 
22,1805539,8/21/2018,WOODHULL STATION ,Steuben,  WOODHULL ,  974 COUNTY ROAD 99 , 
23,1805541,8/21/2018,EDF RENEWABLES COPENHAGEN WIND FARM ,Lewis,  COPENHAGEN ,  HALIFAX RD , 
24,1805540,8/21/2018,TOTAL WINE SPIRITS ,Nassau,  WESTBURY ,  1230 OLD COUNTRY ROAD , 
25,1805542,8/21/2018,MILL RIVER ,Nassau,  EAST ROCKAWAY ,  NEAR MAIN STREET FIRE HOUSE , 
26,1805543,8/21/2018,UNKNOWN RESIDENCE ,Suffolk,  PORT JEFFERSON STATION ,  1 WENMORE LANE , 
27,1805544,8/21/2018,MOMENTIVE PERFORMANCE ON RT 4&32 ,Saratoga,  WATERFORD ,  260 HUDSON RIVER RD , 
28,1805546,8/21/2018,IN FRONT OF BURGOS RESIDENCE ,Saratoga,  HALFMOON ,  112 ROUTE 236 , 
29,1805545,8/21/2018,MOMENTIVE PERFORMANCE NEXT TO BLDG 30 ,Saratoga,  WATERFORD ,  260 HUDSON RIVER RD , 
30,1805547,8/21/2018,MCDONALDS ,Orange,  NEW WINDSOR ,  2639 STATE HWY 32 , 
31,1805548,8/21/2018,RESIDENTIAL ,Richmond,  STATEN ISLAND ,  SOUTH RAILROAD AVENUE AND MIDLAND AVENUE , 
32,1805549,8/21/2018,SEWER MAIN DAMAGE/STORM SEWER ,Westchester,  PURCHASE ,  WESTERLEIGH RD AT WESTERLEIGH CT , 
33,1805550,8/21/2018,CATHOLIC SCHOOL ,Bronx,  BRONX ,  452 WEST 260TH ST , 
34,1805551,8/21/2018,CITY ISLAND YACHT SALES AND MARINA ,Bronx,  BRONX ,  673 CITY ISLAND AVE , 
35,1805552,8/21/2018,ROADWAY ,Suffolk,  QUOGUE ,  380106 COUNTY ROAD , 
36,1805553,8/21/2018,NATIONAL GRID TRANSFORMER ,Genesee,  ELBA ,  4305 DRAKE STREET ROAD , 
37,1805554,8/21/2018,FUEL FARM RACK #3 ,Queens,  FLUSHING ,  LAGUARDIA , 
38,1805555,8/21/2018,GORGE PUMPING STATION ,Niagara,  NIAGARA FALLS ,  CSO 006; 1099 WHIRLPPOL ST , 
39,1805556,8/21/2018,FALLS ST TUNNEL ,Niagara,  NIAGARA FALLS ,  CSO-003 1 NIAGARA ST , 
40,1805566,8/21/2018,MOUNT SINAI HARBOR ,Suffolk,  MOUNT SINAI ,  SHORE ROAD , 
41,1805557,8/21/2018,SAM'S MART GROCERY ,Orange,  MIDDLETOWN ,  90 ACADEMY AVE , 
42,1805558,8/21/2018,NATIONAL GRID TRANSFORMER ,Genesee,  BYRON ,  6420 BYRON HOLLEY ROAD , 
43,1805559,8/21/2018,INTERSECTION ,Westchester,  PELHAM MANOR ,  SPRING RD @ BOSTON POST RD , 
44,1805560,8/22/2018,UNKNOWN ,Suffolk,  SAINT JAMES ,  IFO 9 HEIDIE COURT , 
45,1805561,8/22/2018,52.5 MILEPOST ,Cortland,  CORTLAND ,  1-81 SOUTHBOUND , 
46,1805562,8/22/2018,EXPO LOGISTICS TERMINAL ,Albany,  ALBANY ,  115 RAILROAD AVE , 
47,1805563,8/22/2018,INTERNATIONAL PAPER ,Essex,  TICONDEROGA ,  568 SHORE AIRPORT RD , 
48,1805564,8/22/2018,POLE 301R ,Erie,  BUFFALO ,  301 HARTWELL , 
49,1805565,8/22/2018,ADAMIDIS RESIDENCE ,Nassau,  SYOSSET ,  11 PINE ROAD , 
50,1805567,8/22/2018,R0ADWAY ,Westchester,  PELHAM ,  INTERSTATE 95 NB MM3.5 , 
51,1805568,8/22/2018,NYSEG TRANSFORMER ,Steuben,  CORNING ,  CAYUTA ROAD/PRITCHARD AVENUE , 
52,1805569,8/22/2018,FARM VEHICLE ,Genesee,  LEROY ,  LINWOOD ROAD - JUST NORTH OF ROUTE 20 , 
53,1805570,8/22/2018,WASTE WATER TREATMENT PLANT ,Onondaga,  CLAY ,  4300 OAK ORCHARD RD , 
54,1805571,8/22/2018,COMMERCIAL ,Saratoga,  WATERFORD ,  260 HUDSON RIVER RD , 
55,1805572,8/22/2018,RESIDENCE ,Suffolk,  KINGS PARK ,  127 ORCHID DRIVE , 
56,1805578,8/22/2018,ROSENGRANT RESIDENCE ,Chenango,  GREENE ,  718 CO RT 3A , 
57,1805573,8/22/2018,ROADWAY ,Kings,  BROOKLYN ,  INTERSECTION LINTEN BLVD ATKINS RD , 
58,1805574,8/22/2018,61061 VEHICLE CON ED PROPERTY ,Queens,  ASTORIA ,  31-0120TH AVE , 
59,1805575,8/22/2018,MOMENTIVE ,Saratoga,  WATERFORD ,  260 HUDSON RIVER RD , 
60,1805576,8/22/2018,COMMERCIAL ,Oswego,  OSWEGO ,  448 COUNY ROUTE 1A , 
61,1805577,8/22/2018,HEADY ESTATE ,Putnam,  BREWSTER ,  437 NORTH SALEM RD , 
62,1805579,8/22/2018,RESIDENCE ,Nassau,  MANHASSET ,  110 HILLCREST AVENUE , 
63,1805580,8/22/2018,ORANGE AND ROCKLAND UTIL 50774-50069 ,Orange,  GOSHEN ,  66 WEDGEWOOD DR , 
64,1805581,8/22/2018,ROCKEFELLER ESTATE ,Westchester,  KATONAH ,  129 KATONAHS WOOD RD , 
65,1805585,8/22/2018,COLONIE LANDFILL ODOR ,Albany,  COLONIE WATERFORD LATHAM COHOE ,  ROUTE 9 , 
66,1805582,8/22/2018,POLE # 10 ,Westchester,  WHITE PLAINS ,  31 LAKE ST , 
67,1805583,8/22/2018,PVT HOME ,Rockland,  NEW CITY ,  30 JODI LANE , 
68,1805584,8/22/2018,GULOTTA - UST ,Westchester,  EASTCHESTER ,  32 INTERLAKEN DRIVE , 
69,1805586,8/22/2018,LEFKOWRTZ RESIDENCE ,Westchester,  MOHEGAN LAKE ,  3876 MARCY ST , 
70,1805587,8/22/2018,GARCIA RESIDENCE ,Suffolk,  SMITHTOWN ,  50 MARQUETT DRIVE , 
71,1805588,8/22/2018,SUTHERLAND RESIDENCE ,Orange,  CHESTER ,  13 MAPLE AVE , 
72,1805589,8/22/2018,RESIDENTIAL ,Westchester,  MOHEGAN LAKE ,  3876 MARCY ST , 
73,1805591,8/22/2018,RESIDENCE ,Broome,  ENDICOTT ,  2001 DONNA AVE , 
74,1805590,8/22/2018,CASSELLA WASTE ,Chemung,  ELMIRA ,  1488 COUNTY ROAD 60 , 
75,1805592,8/22/2018,NAT GRID ,Albany,  ALBANY ,  149 CLINTON ST , 
76,1805593,8/22/2018,RESIDENTAL ,Dutchess,  RHINEBECK ,  15 CHESTNUT ST , 
77,1805594,8/22/2018,GAS STATION - BP ,Westchester,  YORKTOWN HEIGHTS ,  1917 COMMERCE ST , 
78,1805595,8/22/2018,CSX ,Albany,  SELKIRK ,  1 BELL CROSSING , 
79,1805596,8/22/2018,STRAUSS - UST ,Westchester,  ARMONK ,  7 NICHOLS RD , 
80,1805597,8/22/2018,RESIDENTIAL ,Orange,  HIGHLAND MILLS ,  24 PARADISE HILL , 
81,1805598,8/22/2018,PARKING LOT ,Schenectady,  SCHENECTADY ,  2048 WATT ST , 
82,1805599,8/22/2018,BUSINESS - MCDONALD EXPRESS ,Oneida,  YORKVILLE ,  707 ORISKANY BLVD , 
83,1805600,8/22/2018,RESIDENCE ,Suffolk,  WATER MILL ,  969 HEAD OF POND ROAD , 
84,1805601,8/22/2018,RESIDENCE ,Nassau,  PLAINVIEW ,  20 LANE AVENUE , 
85,1805602,8/22/2018,BP ,Nassau,  ALBERTSON ,  1175 WILLIS AVENUE , 
86,1805604,8/22/2018,PRIVATE RESD ,Erie,  AKRON ,  4806 MILGROVE RD , 
87,1805603,8/22/2018,SCHOOL ,Queens,  QUEENS ,  64-45 218TH ST , 
88,1805605,8/22/2018,RESIDENTIAL ,Westchester,  YONKERS ,  335 SCARSDALE RD , 
89,1805606,8/22/2018,BROADWAY EXTRA MART ,Albany,  WATERVLIET ,  616 BROADWAY , 
90,1805607,8/22/2018,FARM PROPERTY ,Cattaraugus,  LITTLE VALLEY ,  7860 NAPLES RD , 
91,1805608,8/22/2018,MODERN DISPOSAL GARBAGE TRUCK ,Orleans,  MEDINA ,  I/F/O 7 WESTFIELD DRIVE , 
92,1805609,8/22/2018,COMMERCIAL (OLIN CHEMICAL) ,Niagara,  NIAGARA FALLS ,  BUFFALO AVE AND 27TH ST , 
93,1805610,8/22/2018,RIVERHEAD MIDDLE SCHOOL ,Suffolk,  RIVERHEAD ,  HARRISON AVE/OSBORNE AVE , 
94,1805611,8/22/2018,AMERICAN ROCK SALT ,Livingston,  PIFFARD ,  3846 RETSOF ROAD , 
95,1805612,8/22/2018,BART RES ,Orange,  WASHINGTONVILLE ,  27 CAPITAL DR , 
96,1805613,8/22/2018,NYS ELECTRIC & GAS ,Steuben,  CORNING ,  CHESTNUT/3RD STREET , 
97,1805614,8/23/2018,GAS TURBINE HUDSON AVE CON ED ,Kings,  BROOKLYN ,  1-11 HUDSON AVE , 
98,1805615,8/23/2018,BUS STATION ,Onondaga,  SYRACUSE ,  1 WALSH CIRCLE , 
