,Spill Number,Date Spill Reported,Spill Name,County,City/Town,Address,
1,1905336,8/21/2019,RGE UTILITY POLE 30-D ,Ontario,  EAST BLOOMFIELD ,  YARD NEAR 7366 GAUSS RD , 
2,1905337,8/21/2019,POLE 16 ,Niagara,  LEWISTON ,  4655 LOWER RIVER RD , 
3,1905338,8/21/2019,XPO LOGISTICS ,Orange,  MONTGOMERY ,  120 NEELYTOWN RD , 
4,1905339,8/21/2019,FALL STREET PUMPING STATION ,Niagara,  NIAGARA FALLS ,  1 NIAGARA ST , 
5,1905340,8/21/2019,GORGE PUMP STATION ,Niagara,  NIAGARA FALLS ,  1099 WHIRLPOOL ST , 
6,1905341,8/21/2019,GOWANUS CANAL ,Queens,  QUEENS ,  BETWEEN SMITH & 19TH AVE , 
7,1905342,8/21/2019,CSX TRANSPORTATION ,Albany,  SELKIRK ,  1 BELL CROSSING , 
8,1905344,8/21/2019,NAT GRID POLE 557 ,Chautauqua,  STOCKWELL ,  RTE 430 , 
9,1905345,8/21/2019,FIRST BAPTIST CHURCH ,Nassau,  WESTBURY ,  212 GARDEN ST , 
10,1905346,8/21/2019,NATIONAL GRID ,Columbia,  NIVERVILLE ,  POLE 1 COVE ST , 
11,1905347,8/21/2019,RGE CENTER PARKING LOT ,Monroe,  HENRIETTA ,  1300 SCOTTSVILLE RD , 
12,1905348,8/21/2019,NATIONAL GRID ,St Lawrence,  POTSDAM ,  201 MARKET ST , 
13,1905349,8/21/2019,MOUNTAIN LAKE RESIDENCE ,Essex,  LAKE PLACID ,  386 RIVER ROAD , 
14,1905351,8/21/2019,DRUM RUN ,Bronx,  BRONX ,  WHITTIER STREET , 
15,1905352,8/21/2019,SCAJAQUADA CREEK ,Erie,  BUFFALO ,  1490 WEST AVE , 
16,1905354,8/21/2019,ROBO MART ,Chautauqua,  JAMESTOWN ,  1301 EAST 2ND STREET , 
17,1905353,8/21/2019,ROADWAY ,Saratoga,  WATERFORD ,  260 HUDSON RIVER RD , 
18,1905355,8/21/2019,PAVEMENT ,Suffolk,  SELDEN ,  57 OAKDALE AVE , 
19,1905356,8/21/2019,ROADWAY ,Oswego,  PORT ONTARIO ,  4589 ST RTE 13 , 
20,1905357,8/21/2019,EXCAVATION SITE ,New York,  MANHATTAN ,  538 WEST 21ST , 
21,1905358,8/21/2019,NATIONAL GRID ,Schenectady,  SCOTIA ,  300 WASHINGTON AVE , 
22,1905362,8/21/2019,CULVER PAK GAS STATION ,Monroe,  ROCHESTER ,  645 CULVER RD , 
23,1905387,8/21/2019,VALLEY COLLISION & BODY SHOP ,Tioga,  WAVERLY ,  161 BROAD STREET , 
24,1906780,8/21/2019,FORMER MOBIL STATION ,Saratoga,  CLIFTON PARK ,  1201 ROUTE 146 FORMER , 
25,1905359,8/21/2019,CON ED O/H TRANSFORMER LEAK ,Westchester,  NORTH CASTLE ,  IFO 23 CEDAR HILL ROAD , 
26,1905360,8/21/2019,SOIL ,Rensselaer,  SAND LAKE ,  211 ST RT 151 , 
27,1905361,8/21/2019,CONTAINMENT AREA - NATURAL GAS WELL ,Tioga,  BARTON ,  507 HOLLENBECK ROAD , 
28,1905363,8/21/2019,TAPPAN ZEE SITE ,Westchester,  TARRYTOWN ,  HUDSON RIVER , 
29,1905364,8/21/2019,MAGEE TRANSPORT ,Seneca,  WATERLOO ,  1786 SALCMAN RD , 
30,1905562,8/21/2019,DIMES ENERGY ,Cattaraugus,  ALLEGANY ,  FOUR MILE ROAD AND WEST BRANCH ROAD , 
31,1905365,8/21/2019,SHUKRI RESIDENCE ,Nassau,  LEVITTOWN ,  104 PRENTICE RD , 
32,1905366,8/21/2019,COTTLE ELEM SCHOOL ,Westchester,  EASTCHESTER ,  2 SIWANOY BLVD , 
33,1905367,8/21/2019,CORNELL UNIVERSITY ,Tompkins,  ITHACA ,  215 GARDEN AVE , 
34,1905368,8/21/2019,INTELLIGEN ,Nassau,  OLD BETHPAGE ,  301 WINDING ROAD , 
35,1905370,8/21/2019,CANACADEA CREEK NEXT TO UNIVERSITY BLDG ,Allegany,  ALFRED ,  2 PINE ST , 
36,1905371,8/21/2019,RESIDENCE ,Suffolk,  NESCONSET ,  110 BROWNS ROAD , 
37,1905372,8/21/2019,GATE 43 ,Queens,  QUEENS ,  LAGUARDIA AIRPORT , 
38,1905373,8/21/2019,POLE T35 ,Richmond,  STATEN ISLAND ,  420 DOANE AVE , 
39,1905374,8/21/2019,BLDG 3; UNDERGROUND UNIT ,Orange,  WARWICK ,  39 MAGNOLIA LANE , 
40,1905375,8/22/2019,UNKNOWN ,Nassau,  MALVERNE ,  218 LAKEVIEW AVENUE , 
41,1905376,8/22/2019,NATIONAL GRID ,Albany,  LOUDONVILLE ,  86 FIDDLERS LANE , 
42,1905377,8/22/2019,LIVERPOOL CSD HEATING OIL TANK ,Onondaga,  LIVERPOOL ,  4338 WETZEL RD , 
43,1905378,8/22/2019,RESIDENTIAL ,Oswego,  HASTINGS ,  204 LITTLE CANADA RD , 
44,1905379,8/22/2019,INDUSTRIAL ,Niagara,  MODEL CITY ,  1550 BALMER RD , 
45,1905380,8/22/2019,NEW PALTZ DPW ,Ulster,  NEW PALTZ ,  25 PLATTEKILL AVE , 
46,1905381,8/22/2019,SPILL TO ROADWAY/SHOULDER ,Schuyler,  BEAVER DAMS ,  RTE 414 / COOLEY ROAD , 
47,1905382,8/22/2019,RGE TRUCK ,Monroe,  ROCHESTER ,  NEAR 172 MAIN ST EAST( CORNER OF MAIN ST & ST PAUL , 
48,1905383,8/22/2019,KEYSTONE YACHT CLUB ,Nassau,  WOODMERE ,  190 WOODMERE BLVD S , 
49,1905384,8/22/2019,RGE TRANSFORMER ,Monroe,  WEBSTER ,  851 INDEPENDENCE DR , 
50,1905385,8/22/2019,SOIL ,Queens,  LONG ISLAND CITY ,  2976 NORTHERN BLVD , 
51,1905388,8/22/2019,REAR OF LOCATION/RAILROAD ,New York,  NEW YORK ,  33-28 NORTHERN BLVD , 
52,1905389,8/22/2019,H&L CONTRACTING ,Suffolk,  BAY SHORE ,  38 HOMAN AVE , 
53,1905390,8/22/2019,UNKNOWN ,Nassau,  GARDEN CITY ,  1035 STEWART AVE , 
54,1905391,8/22/2019,NATIONAL GRID AT 956 COUNTY ROUTE 45 ,Oswego,  CENTRAL SQUARE ,  956 COUNTY ROUTE 45 , 
55,1905392,8/22/2019,SIMONS - UST ,Westchester,  KATONAH ,  380 HOOK ROAD , 
56,1905393,8/22/2019,ENDICOTT SQUARE BUILDING ,Broome,  ENDICOTT ,  23 JACKSON AVE , 
57,1905394,8/22/2019,VAULT 8154 ,Westchester,  CROTON ON HUDSON ,  16 SASSI DRIVE , 
58,1905395,8/22/2019,SCHULMAN RESIDENCE ,Suffolk,  HAMPTON BAYS ,  20 EAST DONELLAN ROAD , 
59,1905396,8/22/2019,WATER FILTRATION PLANT ,Dutchess,  BEACON ,  470 LIBERTY ST , 
60,1905397,8/22/2019,CDTA BUS ,Albany,  ALBANY ,  BROADWAY/WATER , 
61,1905398,8/22/2019,AIR ,Schenectady,  ROTTERDAM ,  101 MAIN STREET , 
